event,frontend,target,reference_dx_mm,reference_dy_normal_mm,reference_dz_mm,predicted_dx_mm,predicted_dy_normal_mm,predicted_dz_mm,vector_error_mm,normal_error_mm,interval_lower_normal_mm,interval_upper_normal_mm,interval_radius_mm,covered_normal,interval_score_mm
E0->E1,cascade_strong,T1,-3.470100496170406,3.005369010382149,-34.46427368589655,-0.11752193938315258,1.7920121278643173,-13.04322008137278,21.71574441348175,-1.2133568825178316,-6.149058909029566,9.7330831647582,7.9410710368938835,True,15.882142073787767
E0->E1,cascade_strong,T2,-3.8988835342288297,1.2524049721826105,-35.50507272311239,-0.08838230445053341,0.4760842790254153,-13.489409065212726,22.356476460715587,-0.7763206931571952,-7.464986757868468,8.417155315919299,7.9410710368938835,True,15.882142073787767
E0->E1,cascade_strong,T3,-4.359264460471633,14.073182591530779,-34.92566884437657,-0.6114847359174718,4.038074161549944,-13.507998334149988,23.947147307140384,-10.035108429980834,-3.9029968753439395,11.979145198443828,7.9410710368938835,False,99.64363779726582
E0->E1,cascade_strong,T4,-4.263351770401129,14.798976265752513,-34.23717468466619,-0.5882483971635395,3.9923726506670807,-13.030348884419254,24.08357380082074,-10.806603615085432,-3.948698386226803,11.933443687560963,7.9410710368938835,False,130.50344520144975
E0->E1,multiscale_trimmed_ptp,T1,-3.470100496170406,3.005369010382149,-34.46427368589655,-0.014778342421422508,2.3272230279972215,-21.874181108048433,13.073238477072145,-0.6781459823849274,-12.58010134189497,17.234547397889415,14.907324369892192,True,29.814648739784385
E0->E1,multiscale_trimmed_ptp,T2,-3.8988835342288297,1.2524049721826105,-35.50507272311239,0.017858344891124034,1.164986054462693,-22.446455781481333,13.633634344630236,-0.08741891771991739,-13.7423383154295,16.072310424354885,14.907324369892192,True,29.814648739784385
E0->E1,multiscale_trimmed_ptp,T3,-4.359264460471633,14.073182591530779,-34.92566884437657,-0.6036411388943463,12.691158016929885,-22.197942289311015,13.342028395971012,-1.3820245746008943,-2.2161663529623077,27.598482386822077,14.907324369892192,True,29.814648739784385
E0->E1,multiscale_trimmed_ptp,T4,-4.263351770401129,14.798976265752513,-34.23717468466619,-0.5703370844998688,10.648367660713557,-21.647235407267374,13.761267393343367,-4.150608605038956,-4.258956709178635,25.555692030605748,14.907324369892192,True,29.81464873978438
E0->E1,robust_ptpl,T1,-3.470100496170406,3.005369010382149,-34.46427368589655,-2.7974235762889776,2.6815878281475047,-33.19187190929051,1.4752405816071603,-0.32378118223464414,-3.295203500799075,8.658379157094085,5.97679132894658,True,11.953582657893161
E0->E1,robust_ptpl,T2,-3.8988835342288297,1.2524049721826105,-35.50507272311239,-2.7282474534907806,1.0008864844262206,-34.57273452274967,1.5175325047802435,-0.25151848775638985,-4.975904844520359,6.9776778133728,5.97679132894658,True,11.95358265789316
E0->E1,robust_ptpl,T3,-4.359264460471633,14.073182591530779,-34.92566884437657,-4.197097904536051,13.711464519967661,-34.18321308117319,0.8416522532930412,-0.36171807156311786,7.7346731910210815,19.688255848914242,5.97679132894658,True,11.953582657893161
E0->E1,robust_ptpl,T4,-4.263351770401129,14.798976265752513,-34.23717468466619,-4.1170284294748285,14.230583754704792,-32.71608581308732,1.6303962469154745,-0.5683925110477208,8.253792425758213,20.20737508365137,5.97679132894658,True,11.953582657893158
E1->E2,cascade_strong,T1,-0.969406610592399,-36.891535820355884,-12.129915661400414,0.05454197914627912,-23.947746735437754,-1.7578544885923009,16.618357306356945,12.94378908491813,-33.81210295493891,-14.0833905159366,9.864356219501154,False,142.90602705568136
E1->E2,cascade_strong,T2,-1.0987149208885056,-42.25410232505342,-13.488649589074777,0.0702012375571428,-25.98525299906675,-1.924773136519292,19.99412568698865,16.268849325986668,-35.849609218567906,-16.120896779565594,9.864356219501154,False,275.90843669842275
E1->E2,cascade_strong,T3,2.825464580864474,-10.041220329399126,-13.018473023855462,-0.19096318951152114,-7.258926578265495,-2.2088442216418116,11.562355722478861,2.782293751133631,-17.12328279776665,2.6054296412356592,9.864356219501154,True,19.728712439002308
E1->E2,cascade_strong,T4,-1.0289381857084856,-6.576201148801528,-8.494401889427424,-0.18205410227270136,-5.691280195549103,-2.0159660703172904,6.593210781297018,0.8849209532524247,-15.555636415050257,4.173076023952051,9.864356219501154,True,19.728712439002308
E1->E2,multiscale_trimmed_ptp,T1,-0.969406610592399,-36.891535820355884,-12.129915661400414,-0.07209102889595442,-36.994090405138415,-11.80722921743427,0.9590720708761474,-0.10255458478253132,-42.02890979951923,-31.959271010757604,5.03481939438081,True,10.069638788761623
E1->E2,multiscale_trimmed_ptp,T2,-1.0987149208885056,-42.25410232505342,-13.488649589074777,-0.09762900710020972,-42.1244942958622,-12.770584715944565,1.238785054010455,0.1296080291912176,-47.15931369024301,-37.08967490148139,5.03481939438081,True,10.069638788761623
E1->E2,multiscale_trimmed_ptp,T3,2.825464580864474,-10.041220329399126,-13.018473023855462,-0.2657172877347733,-8.727801354950287,-9.372858144441722,4.956912607279034,1.3134189744488385,-13.762620749331099,-3.692981960569477,5.03481939438081,True,10.069638788761623
E1->E2,multiscale_trimmed_ptp,T4,-1.0289381857084856,-6.576201148801528,-8.494401889427424,-0.21861213537647473,-6.989656679726853,-8.685910522408847,0.9296501171977725,-0.41345553092532494,-12.024476074107664,-1.9548372853460423,5.03481939438081,True,10.069638788761623
E1->E2,robust_ptpl,T1,-0.969406610592399,-36.891535820355884,-12.129915661400414,-0.48730805203338434,-36.895949096575734,-12.609810753788864,0.68024833470593,-0.004413276219850104,-41.93967755578706,-31.852220637364415,5.043728459211319,True,10.087456918422642
E1->E2,robust_ptpl,T2,-1.0987149208885056,-42.25410232505342,-13.488649589074777,-0.5072223838900243,-42.0505638853471,-13.740662800651677,0.6743900774568706,0.20353843970631402,-47.094292344558426,-37.00683542613578,5.043728459211319,True,10.087456918422646
E1->E2,robust_ptpl,T3,2.825464580864474,-10.041220329399126,-13.018473023855462,-0.8326926356998854,-8.591850799716305,-10.305316149353501,4.779540404718026,1.449369529682821,-13.635579258927624,-3.5481223405049853,5.043728459211319,True,10.087456918422639
E1->E2,robust_ptpl,T4,-1.0289381857084856,-6.576201148801528,-8.494401889427424,-0.7735398737664525,-6.750743506343749,-9.433650906579999,0.9888791880413472,-0.17454235754222136,-11.794471965555068,-1.7070150471324297,5.043728459211319,True,10.087456918422639
E2->E3,cascade_strong,T1,-1.4123613506126782,-27.94845197788963,-10.820317140033042,0.292446492082874,-21.0700776992715,-0.7709025282931492,12.296712427959068,6.878374278618129,-28.091913506249472,-14.048241892293529,7.021835806977971,True,14.043671613955944
E2->E3,cascade_strong,T2,-1.5812311148706417,-32.41949762229654,-11.675438779586162,0.3200297287687306,-22.27054245241746,-1.1812286334045154,14.722246106759439,10.14895516987908,-29.29237825939543,-15.248706645439487,7.021835806977971,False,139.1284461300003
E2->E3,cascade_strong,T3,-1.0795754699900675,-6.954381859339429,-7.173638675416053,-0.2057478356536393,-5.575466305867669,-1.5743457354161592,5.832414960037479,1.37891555347176,-12.59730211284564,1.4463695011103024,7.021835806977971,True,14.043671613955942
E2->E3,cascade_strong,T4,-0.77493077313187,-5.395557495362661,-6.215902159175524,-0.17870253876535003,-4.231002186217777,-1.1048480326768413,5.27584604205928,1.164555309144884,-11.252837993195747,2.7908336207601936,7.021835806977971,True,14.04367161395594
E2->E3,multiscale_trimmed_ptp,T1,-1.4123613506126782,-27.94845197788963,-10.820317140033042,-0.13650779112043665,-28.51830907205771,-10.715485402128223,1.4012598282669984,-0.5698570941680821,-33.56391372287972,-23.472704421235704,5.045604650822008,True,10.091209301644014
E2->E3,multiscale_trimmed_ptp,T2,-1.5812311148706417,-32.41949762229654,-11.675438779586162,-0.1999800531421556,-32.26482451486919,-11.978215130045584,1.4224808554370174,0.15467310742734952,-37.3104291656912,-27.219219864047183,5.045604650822008,True,10.091209301644014
