frontend,covered_events,event_count,mean_vector_error_mm_median,mean_vector_error_mm_minimum,mean_vector_error_mm_maximum,max_vector_error_mm_median,max_vector_error_mm_minimum,max_vector_error_mm_maximum,normal_mae_mm_median,normal_mae_mm_minimum,normal_mae_mm_maximum,mean_interval_width_mm_median,mean_interval_width_mm_minimum,mean_interval_width_mm_maximum,mean_interval_score_mm_median,mean_interval_score_mm_minimum,mean_interval_score_mm_maximum
cascade_strong,0,3,13.692012374280369,9.531804884203817,23.025735495539617,19.99412568698865,14.722246106759439,24.08357380082074,5.707847405185323,4.892700077778463,8.219963278822714,15.882142073787767,14.043671613955942,19.728712439002308,65.47784178657278,45.31486524296704,114.56797215802719
multiscale_trimmed_ptp,3,3,2.021104962340852,1.1671607914732098,13.45254215275419,4.956912607279034,1.4224808554370174,13.761267393343367,0.4897592798369781,0.25887640573074266,1.5745495199361739,10.091209301644016,10.06963878876162,29.814648739784385,10.091209301644014,10.069638788761623,29.81464873978438
robust_ptpl,3,3,1.3662053966489798,0.6090562631803096,1.7807645012305433,1.6303962469154745,0.7595877549532478,4.779540404718026,0.37635256315046817,0.20653674608641337,0.45796590078780164,10.733833633799886,10.087456918422639,11.95358265789316,10.73383363379989,10.087456918422642,11.95358265789316
