event,frontend,target,reference_normal_mm,predicted_normal_mm,interval_lower_mm,interval_upper_mm,central_reference_covered,target_projected_sum_tolerance_mm,target_projected_sum_intersects,target_projected_sum_fully_contains,target_projected_sum_abs_error_lower_mm,target_projected_sum_abs_error_upper_mm,event_rms_rss_tolerance_mm,event_rms_rss_intersects,event_rms_rss_fully_contains,event_rms_rss_abs_error_lower_mm,event_rms_rss_abs_error_upper_mm
E0->E1,cascade_strong,T1,3.005369010382149,1.7920121278643173,-6.149058909029566,9.7330831647582,True,0.37082824396346065,True,True,0.8425286385543709,1.5841851264812923,2.865618308499436,True,True,0.0,4.078975191017268
E0->E1,cascade_strong,T2,1.2524049721826105,0.4760842790254153,-7.464986757868468,8.417155315919299,True,0.7048889726997145,True,True,0.0714317204574807,1.4812096658569098,2.865618308499436,True,True,0.0,3.6419390016566315
E0->E1,cascade_strong,T3,14.073182591530779,4.038074161549944,-3.9029968753439395,11.979145198443828,False,1.2576488036161888,False,False,8.777459626364646,11.292757233597023,2.865618308499436,True,False,7.169490121481398,12.90072673848027
E0->E1,cascade_strong,T4,14.798976265752513,3.9923726506670807,-3.948698386226803,11.933443687560963,False,0.4103659012879002,False,False,10.396237713797532,11.216969516373332,2.865618308499436,True,False,7.940985306585996,13.672221923584868
E0->E1,multiscale_trimmed_ptp,T1,3.005369010382149,2.3272230279972215,-12.58010134189497,17.234547397889415,True,0.37082824396346065,True,True,0.30731773842146676,1.048974226348388,2.865618308499436,True,True,0.0,3.5437642908843636
E0->E1,multiscale_trimmed_ptp,T2,1.2524049721826105,1.164986054462693,-13.7423383154295,16.072310424354885,True,0.7048889726997145,True,True,0.0,0.7923078904196319,2.865618308499436,True,True,0.0,2.9530372262193536
E0->E1,multiscale_trimmed_ptp,T3,14.073182591530779,12.691158016929885,-2.2161663529623077,27.598482386822077,True,1.2576488036161888,True,True,0.12437577098470554,2.639673378217083,2.865618308499436,True,True,0.0,4.247642883100331
E0->E1,multiscale_trimmed_ptp,T4,14.798976265752513,10.648367660713557,-4.258956709178635,25.555692030605748,True,0.4103659012879002,True,True,3.740242703751056,4.560974506326856,2.865618308499436,True,True,1.2849902965395197,7.016226913538392
E0->E1,robust_ptpl,T1,3.005369010382149,2.6815878281475047,-3.295203500799075,8.658379157094085,True,0.37082824396346065,True,True,0.0,0.6946094261981048,2.865618308499436,True,True,0.0,3.1893994907340804
E0->E1,robust_ptpl,T2,1.2524049721826105,1.0008864844262206,-4.975904844520359,6.9776778133728,True,0.7048889726997145,True,True,0.0,0.9564074604561044,2.865618308499436,True,True,0.0,3.117136796255826
E0->E1,robust_ptpl,T3,14.073182591530779,13.711464519967661,7.7346731910210815,19.688255848914242,True,1.2576488036161888,True,True,0.0,1.6193668751793067,2.865618308499436,True,True,0.0,3.227336380062554
E0->E1,robust_ptpl,T4,14.798976265752513,14.230583754704792,8.253792425758213,20.20737508365137,True,0.4103659012879002,True,True,0.15802660975982064,0.978758412335621,2.865618308499436,True,True,0.0,3.434010819547157
E1->E2,cascade_strong,T1,-36.891535820355884,-23.947746735437754,-33.81210295493891,-14.0833905159366,False,0.3302590632166089,False,False,12.613530021701521,13.274048148134739,2.7703615080955846,False,False,10.173427576822546,15.714150593013715
