case_id,domain,seed,location_index,x_mm,z_mm,error_mm,pointwise_radius_mm,das_radius_mm,pointwise_standardized_abs_error,das_standardized_abs_error,pointwise_covered,das_covered
noise_density-seed-410000,noise_density,410000,19,57.26935411856125,116.69117826732894,-1.630158950117981,3.9283247091144475,6.607128323315587,0.41497561195379484,0.24672730274745672,True,True
noise_density-seed-410000,noise_density,410000,20,107.94503327662633,152.6332201459749,-1.5611653443863045,4.099330182602212,6.894745867940023,0.38083425214489386,0.22642826498444119,True,True
noise_density-seed-410000,noise_density,410000,21,181.28085247023955,119.24023997534867,-1.722052201781327,4.036707169354987,6.789418962667373,0.4265982469212619,0.2536376398702579,True,True
noise_density-seed-410000,noise_density,410000,22,233.11108435419226,181.03007646250413,-1.335540817948381,3.9248178233917406,6.601230021698267,0.3402809704920867,0.2023169641958322,True,True
noise_density-seed-410000,noise_density,410000,23,288.895127987899,156.293609454275,-1.4375990986386653,3.93319426488285,6.615318527084825,0.36550421917222137,0.21731366263812738,True,True
noise_density-seed-410000,noise_density,410000,24,350.3848816475301,117.95651767782823,-1.743464980878764,4.108827932256282,6.910720324074358,0.42432173106878546,0.2522841178806189,True,True
noise_density-seed-410000,noise_density,410000,25,389.7339565707694,136.23656733667735,-1.591155297520587,4.135856764305772,6.956180660223755,0.38472205112443536,0.2287397891516816,True,True
noise_density-seed-410000,noise_density,410000,26,460.5723437930733,119.1001586666308,-1.840905919407425,4.089333836591873,6.87793281256776,0.4501725691687892,0.2676539549853721,True,True
noise_density-seed-410000,noise_density,410000,27,533.6355172095659,105.28129673164571,-2.1140084803575947,4.124112921959023,6.936428455622711,0.5125971379448565,0.3047690167760566,True,True
noise_density-seed-410000,noise_density,410000,28,597.7074017017192,147.79053887568466,-1.7978790172290449,4.124264089825722,6.936682707897563,0.4359272292150955,0.25918426615969054,True,True
noise_density-seed-410000,noise_density,410000,29,633.8016324170019,113.10194589297973,-2.16814934167561,4.057359760126383,6.824154970390702,0.5343744380232317,0.3177168969759603,True,True
noise_density-seed-410000,noise_density,410000,30,710.5064030155257,149.86631800475567,-1.8848021181920487,4.004473184486125,6.735203975320161,0.47067417644199216,0.2798433611065883,True,True
noise_density-seed-410000,noise_density,410000,31,752.04431553175,182.22266081310394,-1.6698848562956794,4.036080092860631,6.788364270101577,0.41373927619759493,0.2459922287391764,True,True
noise_density-seed-410000,noise_density,410000,32,817.8777732357452,140.0530616792415,-2.2062959463992526,4.122645076396446,6.933959656653967,0.5351651441039763,0.31818701804560495,True,True
noise_density-seed-410000,noise_density,410000,33,895.926020141279,133.7818979628775,-2.5044402151994634,4.032089596726175,6.781652574407768,0.6211271240681072,0.3692964491649991,True,True
noise_density-seed-410000,noise_density,410000,34,930.1683772073018,176.96979006774086,-2.3710321325832995,4.048142973337925,6.80865307134995,0.5857085948296554,0.3482380593836301,True,True
noise_density-seed-410000,noise_density,410000,37,53.95295819643229,290.243892203918,-1.3056109530085567,3.966130800626145,6.670715148875409,0.32919008944496636,0.19572278591878783,True,True
noise_density-seed-410000,noise_density,410000,38,134.98721148542924,307.32948505353744,-1.0839810113473378,3.975659697444248,6.686741992051271,0.2726543753340294,0.16210899308450935,True,True
noise_density-seed-410000,noise_density,410000,39,156.61957815937555,243.97990479595606,-1.194032682940248,3.935480958519742,6.619164563096053,0.30340197183659123,0.18039023981929075,True,True
noise_density-seed-410000,noise_density,410000,40,224.33113359489127,303.61462223532425,-0.8107301642575457,3.9770159455981835,6.689023093094298,0.20385388827894269,0.1212030744959661,True,True
noise_density-seed-410000,noise_density,410000,41,305.7626268634833,274.9537937124683,-0.6903249156220053,4.043645729456831,6.801089066430831,0.1707184461272611,0.10150211368784257,True,True
noise_density-seed-410000,noise_density,410000,42,341.24629917847153,246.06114496675448,-0.7799693193407471,3.9771811437789033,6.689300943236437,0.19611108751251452,0.11659952601315918,True,True
noise_density-seed-410000,noise_density,410000,43,417.18158403440225,241.82082805769514,-0.7978006583037995,4.041650399765034,6.797733081297924,0.1973947717868375,0.11736275148824638,True,True
noise_density-seed-410000,noise_density,410000,44,470.2127075493879,287.05687762667344,-0.702431549834289,4.046052283868807,6.805136698689966,0.17360911341526927,0.10322078467130744,True,True
noise_density-seed-410000,noise_density,410000,45,521.4560102375821,247.24852899558272,-1.009853972031797,4.047211503480651,6.807086413465984,0.24951845762528355,0.14835333514116603,True,True
noise_density-seed-410000,noise_density,410000,46,573.4137391298602,281.7967391560963,-1.0149633632702955,3.890335066716213,6.543232779828657,0.2608935595172306,0.15511649935475375,True,True
noise_density-seed-410000,noise_density,410000,47,649.7317129601827,288.0377803742431,-0.997488756030382,4.179765027789385,7.030030851532298,0.23864708886708375,0.14188966977477271,True,True
noise_density-seed-410000,noise_density,410000,48,696.0026463851356,224.31815416607128,-1.2805221297281015,4.112955846525089,6.9176631460916855,0.31133865217881584,0.18510906106371572,True,True
noise_density-seed-410000,noise_density,410000,49,750.1949207630369,288.5679574208957,-0.9507557350858526,4.076617947764687,6.856545703444295,0.2332216919191989,0.13866395357187702,True,True
noise_density-seed-410000,noise_density,410000,50,817.2516420530857,238.98150403297407,-1.4509740304290588,3.928729100068723,6.607808476593519,0.369324021451028,0.21958475878481729,True,True
noise_density-seed-410000,noise_density,410000,51,870.6434079512418,228.05758944548813,-1.7792758010390748,3.9568623599763546,6.65512637216657,0.44966835820129647,0.2673541720380335,True,True
noise_density-seed-410000,noise_density,410000,52,937.1402329380323,240.27938083095543,-2.086013667704808,3.9213818068316715,6.595450916350703,0.5319588273885087,0.31628067499272816,True,True
noise_density-seed-410000,noise_density,410000,55,64.11217208264256,392.7761515958927,-1.192080162347985,3.8251903424808633,6.433664558135754,0.3116394363724264,0.1852878948810796,True,True
noise_density-seed-410000,noise_density,410000,56,121.9934096867684,418.8015953106766,-0.9917033338175658,3.740776249712388,6.291686798017418,0.2651062954898234,0.15762121759304085,True,True
